page,plot,choice_1,choice_2,score_1,score_2,next_1,next_2,bridge,end,name
29,You enter the bank and deposit your cash. You keep $500 for immediate expenses.,I will go get a taxi and head back home.,I will head to the tram. I think it will get me home quickly enough.,0,0,30,34,,,29
30,"You wander around but can't find a taxi. It is getting late. You see a hotel on the next block, and head there.",,,,,,,33,,30
31,"You grab a bite to eat at the restaurant. Now it is late, and the tram and taxis have stopped running. You see a hotel nearby, and head there.",,,,,,,33,,31
32,"You finally get back to your district, but it took longer than you thought it would. You are still far from home, and there isn't a taxi in sight. You see a hotel across the street, and head there.",,,,,,,33,,32
33,"You enter the hotel. When you ask the man at the front desk about prices, he names an extremely large number. You glance around the hotel and see a plaque on the wall. \""Hotel rated 5 stars by the Hotel Rating Commission\"".",I would rather sleep outside in the cold than pay that price. Hopefully the hoodlums who roam the streets at night won't see me.,"It's a steep price, but I will pay it, rather than risk sleeping outside tonight.",10,1,35,36,,,33
34,"You walk up to the tram. The cost is $5, but must be exact change. You glance over to a man who is very intently feeding money into the machine to get his ticket. You see his wallet sitting next to him with a $5 bill sticking out.",He isn't looking it…I will just grab the $5 bill.,I ask the man if he has change for my $10 bill.,10,1,37,38,,,34
35,It is extremely cold and frightening staying outside all night. But finally morning arrives.,,,,,,,39,,35
36,"You regret paying the huge price, but at least you got a good night's sleep.",,,,,,,39,,36
37,"You feel guilty, but you make it home with no further incidents.",,,,,,,39,,37
38,He makes change for you. You get a ticket and head home.,,,,,,,39,,38
39,"A few days later, you wake up feeling a little sick. Your good friend is having a birthday party today, and you are looking forward to it.",You probably just have a little cold. Nothing to worry about.,"I better go see the doctor, just in case. There are a lot of bad flu bugs going around right now.",10,1,40,41,,,39
40,"Two hours before the party, you start feeling nauseous. You are stuck at home. Your friend is disappointed that you missed his party, and so are you.",,,,,,,42,,40
41,"The doctor says that you have a stomach flu, and gives you pills to cure it. You make it to your friend's party.",,,,,,,43,,41
42,You get some rest and wake up feeling better a few days later. The last few days have been tough. What should you do this morning?,Time to get up and face whatever the world can throw at me.,I am going back to bed.,10,1,44,45,,,42
43,"One of your friends who is at the party, asks if you want to play poker this weekend.","Oh, no, not again! You tell him you can't make it.",Why not? What is the worst that could happen?,1,10,46,46,,,43
44,"You put some toast in your antique pop-up toaster and get a glass of milk. As you check on the toast, the bread pops up and hits you in the face. Getting up was a bad idea.",,,,,,,47,,44
45,ZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,,,,,,,47,,45
46,"That night as you drift off to sleep, you dream of dollar bills chasing you around and around. ",,,,,,,47,,46
47,THE END. Thanks for playing.,,,,,,,,47,47
